cnty_fips,display_name,state,minimum,Maximum
2013,Aleutians East, AK,21533,36976
2016,Aleutians West, AK,5293,17395
2020,Anchorage, AK,5293,17395
2050,Bethel, AK,21533,36976
2060,Bristol Bay, AK,5293,17395
2068,Denali, AK,5293,17395
2070,Dillingham, AK,21533,36976
2090,Fairbanks North Star, AK,5293,17395
2100,Haines, AK,21533,36976
2105,Hoonah-Angoon, AK,21533,36976
2110,Juneau, AK,5293,17395
2122,Kenai Peninsula, AK,17395,18752
2130,Ketchikan Gateway, AK,21533,36976
2150,Kodiak Island, AK,17395,18752
2164,Lake and Peninsula, AK,21533,36976
2170,Matanuska-Susitna, AK,5293,17395
2180,Nome, AK,21533,36976
2185,North Slope, AK,21533,36976
2188,Northwest Arctic, AK,18752,20004
2195,Petersburg, AK,20004,21533
2198,Prince of Wales-Hyder, AK,21533,36976
2220,Sitka, AK,21533,36976
2230,Skagway, AK,21533,36976
2240,Southeast Fairbanks, AK,5293,17395
2261,Valdez-Cordova, AK,20004,21533
2158,Kusilvak, AK,20004,21533
2275,Wrangell, AK,21533,36976
2282,Yakutat, AK,5293,17395
2290,Yukon-Koyukuk, AK,5293,17395
6001,Alameda, CA,20004,21533
6005,Amador, CA,5293,17395
6007,Butte, CA,20004,21533
6009,Calaveras, CA,17395,18752
6011,Colusa, CA,17395,18752
6013,Contra Costa, CA,18752,20004
6015,Del Norte, CA,5293,17395
6017,El Dorado, CA,5293,17395
6021,Glenn, CA,18752,20004
6023,Humboldt, CA,5293,17395
6031,Kings, CA,5293,17395
6033,Lake, CA,21533,36976
6035,Lassen, CA,17395,18752
6041,Marin, CA,5293,17395
6043,Mariposa, CA,5293,17395
6045,Mendocino, CA,18752,20004
6047,Merced, CA,17395,18752
6049,Modoc, CA,5293,17395
6053,Monterey, CA,17395,18752
6055,Napa, CA,5293,17395
6057,Nevada, CA,5293,17395
6061,Placer, CA,5293,17395
6063,Plumas, CA,17395,18752
6067,Sacramento, CA,18752,20004
6069,San Benito, CA,17395,18752
6075,San Francisco, CA,18752,20004
6077,San Joaquin, CA,17395,18752
6079,San Luis Obispo, CA,5293,17395
6081,San Mateo, CA,5293,17395
6083,Santa Barbara, CA,5293,17395
6085,Santa Clara, CA,17395,18752
6087,Santa Cruz, CA,5293,17395
6089,Shasta, CA,17395,18752
6091,Sierra, CA,17395,18752
6093,Siskiyou, CA,5293,17395
6095,Solano, CA,20004,21533
6097,Sonoma, CA,5293,17395
6099,Stanislaus, CA,17395,18752
6101,Sutter, CA,5293,17395
6103,Tehama, CA,5293,17395
6105,Trinity, CA,17395,18752
6109,Tuolumne, CA,17395,18752
6113,Yolo, CA,5293,17395
6115,Yuba, CA,17395,18752
15001,Hawaii, HI,5293,17395
15003,Honolulu, HI,5293,17395
15005,Kalawao, HI,,
15007,Kauai, HI,5293,17395
15009,Maui, HI,5293,17395
41003,Benton, OR,5293,17395
41005,Clackamas, OR,17395,18752
41007,Clatsop, OR,20004,21533
41009,Columbia, OR,5293,17395
41011,Coos, OR,5293,17395
41013,Crook, OR,5293,17395
41015,Curry, OR,5293,17395
41017,Deschutes, OR,5293,17395
41019,Douglas, OR,5293,17395
41021,Gilliam, OR,5293,17395
41027,Hood River, OR,5293,17395
41029,Jackson, OR,5293,17395
41031,Jefferson, OR,5293,17395
41033,Josephine, OR,5293,17395
41035,Klamath, OR,5293,17395
41037,Lake, OR,5293,17395
41039,Lane, OR,5293,17395
41041,Lincoln, OR,5293,17395
41043,Linn, OR,17395,18752
41047,Marion, OR,5293,17395
41051,Multnomah, OR,18752,20004
41053,Polk, OR,5293,17395
41055,Sherman, OR,18752,20004
41057,Tillamook, OR,18752,20004
41065,Wasco, OR,5293,17395
41067,Washington, OR,17395,18752
41069,Wheeler, OR,5293,17395
41071,Yamhill, OR,5293,17395
53007,Chelan, WA,5293,17395
53009,Clallam, WA,5293,17395
53011,Clark, WA,17395,18752
53015,Cowlitz, WA,17395,18752
53027,Grays Harbor, WA,17395,18752
53029,Island, WA,5293,17395
53031,Jefferson, WA,5293,17395
53033,King, WA,17395,18752
53035,Kitsap, WA,5293,17395
53037,Kittitas, WA,5293,17395
53039,Klickitat, WA,18752,20004
53041,Lewis, WA,17395,18752
53045,Mason, WA,5293,17395
53047,Okanogan, WA,18752,20004
53049,Pacific, WA,18752,20004
53053,Pierce, WA,17395,18752
53055,San Juan, WA,17395,18752
53057,Skagit, WA,17395,18752
53059,Skamania, WA,17395,18752
53061,Snohomish, WA,17395,18752
53067,Thurston, WA,5293,17395
53069,Wahkiakum, WA,5293,17395
53073,Whatcom, WA,5293,17395
53077,Yakima, WA,17395,18752
4001,Apache, AZ,21533,36976
4003,Cochise, AZ,17395,18752
4005,Coconino, AZ,17395,18752
4007,Gila, AZ,20004,21533
4009,Graham, AZ,5293,17395
4011,Greenlee, AZ,18752,20004
4012,La Paz, AZ,18752,20004
