cnty_fips,display_name,state,theme_range
2013,Aleutians East, AK,"$21,533 - $36,976 (643)"
2016,Aleutians West, AK,"$5,293 - $17,395 (644)"
2020,Anchorage, AK,"$5,293 - $17,395 (644)"
2050,Bethel, AK,"$21,533 - $36,976 (643)"
2060,Bristol Bay, AK,"$5,293 - $17,395 (644)"
2068,Denali, AK,"$5,293 - $17,395 (644)"
2070,Dillingham, AK,"$21,533 - $36,976 (643)"
2090,Fairbanks North Star, AK,"$5,293 - $17,395 (644)"
2100,Haines, AK,"$21,533 - $36,976 (643)"
2105,Hoonah-Angoon, AK,"$21,533 - $36,976 (643)"
2110,Juneau, AK,"$5,293 - $17,395 (644)"
2122,Kenai Peninsula, AK,"$17,395 - $18,752 (643)"
2130,Ketchikan Gateway, AK,"$21,533 - $36,976 (643)"
2150,Kodiak Island, AK,"$17,395 - $18,752 (643)"
2164,Lake and Peninsula, AK,"$21,533 - $36,976 (643)"
2170,Matanuska-Susitna, AK,"$5,293 - $17,395 (644)"
2180,Nome, AK,"$21,533 - $36,976 (643)"
2185,North Slope, AK,"$21,533 - $36,976 (643)"
2188,Northwest Arctic, AK,"$18,752 - $20,004 (643)"
2195,Petersburg, AK,"$20,004 - $21,533 (643)"
2198,Prince of Wales-Hyder, AK,"$21,533 - $36,976 (643)"
2220,Sitka, AK,"$21,533 - $36,976 (643)"
2230,Skagway, AK,"$21,533 - $36,976 (643)"
2240,Southeast Fairbanks, AK,"$5,293 - $17,395 (644)"
2261,Valdez-Cordova, AK,"$20,004 - $21,533 (643)"
2158,Kusilvak, AK,"$20,004 - $21,533 (643)"
2275,Wrangell, AK,"$21,533 - $36,976 (643)"
2282,Yakutat, AK,"$5,293 - $17,395 (644)"
2290,Yukon-Koyukuk, AK,"$5,293 - $17,395 (644)"
6001,Alameda, CA,"$20,004 - $21,533 (643)"
6005,Amador, CA,"$5,293 - $17,395 (644)"
6007,Butte, CA,"$20,004 - $21,533 (643)"
6009,Calaveras, CA,"$17,395 - $18,752 (643)"
6011,Colusa, CA,"$17,395 - $18,752 (643)"
6013,Contra Costa, CA,"$18,752 - $20,004 (643)"
